category_ar,category_en,category_code,code,title_ar,title_en,risk_level,required_evidence,description_ar,description_en
,Cybersecurity Strategy,1-1,NCA-ECC-1-1-1,,"A cybersecurity strategy must be defined, documented and approved",MEDIUM,,,"A cybersecurity strategy must be defined, documented and approved. It must be supported by the head of the organization or his/her delegate (referred to in this document as Authorizing Official). The strategy goals must be in-line with related laws and regulations."
,Cybersecurity Strategy,1-1,NCA-ECC-1-1-2,,A roadmap must be executed to implement the cybersecurity strategy,MEDIUM,,,A roadmap must be executed to implement the cybersecurity strategy. The cybersecurity strategy must be reviewed periodically according to planned intervals or upon
,Cybersecurity Strategy,1-1,NCA-ECC-1-1-3,,changes to related laws and regulations.,MEDIUM,,,changes to related laws and regulations.
,Cybersecurity Management,1-2,NCA-ECC-1-2-1,,A dedicated cybersecurity function (e,MEDIUM,,,"A dedicated cybersecurity function (e.g., division, department) must be established within the organization. This function must be independent from the Information Technology/Information Communication and Technology (IT/ICT) functions (as per the Royal Decree number 37140 dated 14/8/1438H). It is highly recommended that this cybersecurity function reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest. The position of cybersecurity function head (e.g., CISO), and related supervisory and critical positions"
,Cybersecurity Management,1-2,NCA-ECC-1-2-2,,"within the function, must be filled with full-time and experienced Saudi cybersecurity professionals",MEDIUM,,,"within the function, must be filled with full-time and experienced Saudi cybersecurity professionals. A cybersecurity steering committee must be established by the Authorizing Official to ensure the support and implementation of the cybersecurity programs and initiatives within the organization. Committee members, roles and responsibilities, and governance framework must be defined,"
,Cybersecurity Management,1-2,NCA-ECC-1-2-3,,documented and approved,MEDIUM,,,documented and approved. The committee must include the head of the cybersecurity function as one of its members. It is highly recommended that the committee reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest.
,Cybersecurity Policies and Procedures,1-3,NCA-ECC-1-3-1,,"Cybersecurity policies and procedures must be defined and documented by the cybersecurity function, approved by the Auth",MEDIUM,,,"Cybersecurity policies and procedures must be defined and documented by the cybersecurity function, approved by the Authorizing Official, and disseminated to relevant parties inside and outside the organization. The cybersecurity function must ensure that the cybersecurity policies and procedures are"
,Cybersecurity Policies and Procedures,1-3,NCA-ECC-1-3-2,,"implemented. The cybersecurity policies and procedures must be supported by technical security standards (e.g.,",MEDIUM,,,"implemented. The cybersecurity policies and procedures must be supported by technical security standards (e.g.,"
,Cybersecurity Policies and Procedures,1-3,NCA-ECC-1-3-3,,"operating systems, databases and firewall technical security standards)",MEDIUM,,,"operating systems, databases and firewall technical security standards). The cybersecurity policies and procedures must be reviewed periodically according to planned"
,Cybersecurity Policies and Procedures,1-3,NCA-ECC-1-3-4,,intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.,MEDIUM,,,intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.
,Cybersecurity Roles and Responsibilities,1-4,NCA-ECC-1-4-1,,"Cybersecurity organizational structure and related roles and responsibilities must be defined, documented, approved, sup",MEDIUM,,,"Cybersecurity organizational structure and related roles and responsibilities must be defined, documented, approved, supported and assigned by the Authorizing Official while ensuring that this does not result in a conflict of interest. The cybersecurity roles and responsibilities must be reviewed periodically according to planned"
,Cybersecurity Roles and Responsibilities,1-4,NCA-ECC-1-4-2,,intervals or upon changes to related laws and regulations.,MEDIUM,,,intervals or upon changes to related laws and regulations.
,Cybersecurity Risk Management,1-5,NCA-ECC-1-5-1,,"Cybersecurity risk management methodology and procedures must be defined, documented and approved as per confidentiality",MEDIUM,,,"Cybersecurity risk management methodology and procedures must be defined, documented and approved as per confidentiality, integrity and availability considerations of information and technology assets. The cybersecurity risk management methodology and procedures must be implemented by the"
,Cybersecurity Risk Management,1-5,NCA-ECC-1-5-2,,cybersecurity function,MEDIUM,,,cybersecurity function. The cybersecurity risk assessment procedures must be implemented at least in the following cases:
,Cybersecurity Risk Management,1-5,NCA-ECC-1-5-3,,-4 During the planning phase and before going live for new technology services and products,MEDIUM,,,-4 During the planning phase and before going live for new technology services and products. The cybersecurity risk management methodology and procedures must be reviewed periodically
,Cybersecurity Risk Management,1-5,NCA-ECC-1-5-4,,according to planned intervals or upon changes to related laws and regulations,MEDIUM,,,according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.
,Cybersecurity in Information and Technology Project Management,1-6,NCA-ECC-1-6-1,,Cybersecurity requirements must be included in project and asset (information/ technology) change management methodology,MEDIUM,,,Cybersecurity requirements must be included in project and asset (information/ technology) change management methodology and procedures to identify and manage cybersecurity risks as part of project management lifecycle. The cybersecurity requirements must be a key part of the overall requirements of technology projects. The cybersecurity requirements in project and assets (information/technology) change management must include at least the following:
,Cybersecurity in Information and Technology Project Management,1-6,NCA-ECC-1-6-2,,"-2 Conducting a configurations’ review, secure configuration and hardening and patching before changes or going live for",MEDIUM,,,"-2 Conducting a configurations’ review, secure configuration and hardening and patching before changes or going live for technology projects. The cybersecurity requirements related to software and application development projects must include at least the following:"
,Cybersecurity in Information and Technology Project Management,1-6,NCA-ECC-1-6-3,,"-5 Conducting a configurations’ review, secure configuration and hardening and patching before going live for software p",MEDIUM,,,"-5 Conducting a configurations’ review, secure configuration and hardening and patching before going live for software products."
,Cybersecurity in Information and Technology Project Management,1-6,NCA-ECC-1-6-4,,The cybersecurity requirements in project management must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements in project management must be reviewed periodically.
,"Compliance with Cybersecurity Standards, Laws and Regulations",1-7,NCA-ECC-1-7-1,,The organization must comply with related national cybersecurity laws and regulations,MEDIUM,,,The organization must comply with related national cybersecurity laws and regulations. The organization must comply with any nationally-approved international agreements and
,"Compliance with Cybersecurity Standards, Laws and Regulations",1-7,NCA-ECC-1-7-2,,commiments related to cybersecurity.,MEDIUM,,,commiments related to cybersecurity.
,Periodical Cybersecurity Review and Audit,1-8,NCA-ECC-1-8-1,,Cybersecurity reviews must be conducted periodically by the cybersecurity function in the organization to assess the com,MEDIUM,,,"Cybersecurity reviews must be conducted periodically by the cybersecurity function in the organization to assess the compliance with the cybersecurity controls in the organization. Cybersecurity audits and reviews must be conducted by independent parties outside the cybersecurity function (e.g., Internal Audit function) to assess the compliance with the cybersecurity"
,Periodical Cybersecurity Review and Audit,1-8,NCA-ECC-1-8-2,,controls in the organization,MEDIUM,,,"controls in the organization. Audits and reviews must be conducted independently, while ensuring that this does not result in a conflict of interest, as per the Generally Accepted Auditing Standards (GAAS), and related laws and regulations. Results from the cybersecurity audits and reviews must be documented and presented to the"
,Periodical Cybersecurity Review and Audit,1-8,NCA-ECC-1-8-3,,cybersecurity steering committee and Authorizing Official,MEDIUM,,,"cybersecurity steering committee and Authorizing Official. Results must include the audit/review scope, observations, recommendations and remediation plans."
,Cybersecurity in Human Resources,1-9,NCA-ECC-1-9-1,,"Personnel cybersecurity requirements (prior to employment, during employment and after termination/separation) must be d",MEDIUM,,,"Personnel cybersecurity requirements (prior to employment, during employment and after termination/separation) must be defined, documented and approved."
,Cybersecurity in Human Resources,1-9,NCA-ECC-1-9-2,,The personnel cybersecurity requirements must be implemented,MEDIUM,,,The personnel cybersecurity requirements must be implemented. The personnel cybersecurity requirements prior to employment must include at least the following:
,Cybersecurity in Human Resources,1-9,NCA-ECC-1-9-3,,-2 Screening or vetting candidates of cybersecurity and critical/privileged positions,MEDIUM,,,-2 Screening or vetting candidates of cybersecurity and critical/privileged positions. The personnel cybersecurity requirements during employment must include at least the following:
,Cybersecurity in Human Resources,1-9,NCA-ECC-1-9-4,,-2 Implementation of and compliance with the cybersecurity requirements as per the organizational cybersecurity policies,MEDIUM,,,-2 Implementation of and compliance with the cybersecurity requirements as per the organizational cybersecurity policies and procedures. Personnel access to information and technology assets must be reviewed and removed immediately
,Cybersecurity in Human Resources,1-9,NCA-ECC-1-9-5,,upon termination/separation.,MEDIUM,,,upon termination/separation.
,Cybersecurity in Human Resources,1-9,NCA-ECC-1-9-6,,Personnel cybersecurity requirements must be reviewed periodically.,MEDIUM,,,Personnel cybersecurity requirements must be reviewed periodically.
,Cybersecurity Awareness and Training Program,1-10,NCA-ECC-1-10-1,,A cybersecurity awareness program must be developed and approved,MEDIUM,,,"A cybersecurity awareness program must be developed and approved. The program must be conducted periodically through multiple channels to strengthen the awareness about cybersecurity, cyber threats and risks, and to build a positive cybersecurity awareness culture."
,Cybersecurity Awareness and Training Program,1-10,NCA-ECC-1-10-2,,The cybersecurity awareness program must be implemented,MEDIUM,,,"The cybersecurity awareness program must be implemented. The cybersecurity awareness program must cover the latest cyber threats and how to protect against them, and must include at least the following subjects:"
,Cybersecurity Awareness and Training Program,1-10,NCA-ECC-1-10-3,,-4 Secure use of social media,MEDIUM,,,"-4 Secure use of social media. Essential and customized (i.e., tailored to job functions as it relates to cybersecurity) training and access to professional skillsets must be made available to personnel working directly on tasks related to cybersecurity including:"
,Cybersecurity Awareness and Training Program,1-10,NCA-ECC-1-10-4,,-2 Personnel working on software/application development. and information and technology assets operations.,MEDIUM,,,-2 Personnel working on software/application development. and information and technology assets operations.
,Cybersecurity Awareness and Training Program,1-10,NCA-ECC-1-10-5,,The implementation of the cybersecurity awareness program must be reviewed periodically.,MEDIUM,,,The implementation of the cybersecurity awareness program must be reviewed periodically.
,Asset Management,2-1,NCA-ECC-2-1-1,,"Cybersecurity requirements for managing information and technology assets must be defined, documented and approved",MEDIUM,,,"Cybersecurity requirements for managing information and technology assets must be defined, documented and approved. The cybersecurity requirements for managing information and technology assets must be"
,Asset Management,2-1,NCA-ECC-2-1-2,,"implemented. Acceptable use policy of information and technology assets must be defined, documented and",MEDIUM,,,"implemented. Acceptable use policy of information and technology assets must be defined, documented and"
,Asset Management,2-1,NCA-ECC-2-1-3,,approved.,MEDIUM,,,approved.
,Asset Management,2-1,NCA-ECC-2-1-4,,Acceptable use policy of information and technology assets must be implemented,MEDIUM,,,"Acceptable use policy of information and technology assets must be implemented. Information and technology assets must be classified, labeled and handled as per related law and"
,Asset Management,2-1,NCA-ECC-2-1-5,,regulatory requirements. The cybersecurity requirements for managing information and technology assets must be reviewed,MEDIUM,,,regulatory requirements. The cybersecurity requirements for managing information and technology assets must be reviewed
,Asset Management,2-1,NCA-ECC-2-1-6,,periodically.,MEDIUM,,,periodically.
,Identity and Access Management,2-2,NCA-ECC-2-2-1,,"Cybersecurity requirements for identity and access management must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for identity and access management must be defined, documented and approved."
,Identity and Access Management,2-2,NCA-ECC-2-2-2,,The cybersecurity requirements for identity and access management must be implemented,MEDIUM,,,The cybersecurity requirements for identity and access management must be implemented. The cybersecurity requirements for identity and access management must include at least the following
,Identity and Access Management,2-2,NCA-ECC-2-2-3,,-5 Periodic review of users’ identities and access rights,MEDIUM,,,-5 Periodic review of users’ identities and access rights. The Implementation of the cybersecurity requirements for identity and access management must
,Identity and Access Management,2-2,NCA-ECC-2-2-4,,be reviewed periodically.,MEDIUM,,,be reviewed periodically.
,Information System and Information Processing Facilities Protection,2-3,NCA-ECC-2-3-1,,"Cybersecurity requirements for protecting information systems and information processing facilities must be defined, doc",MEDIUM,,,"Cybersecurity requirements for protecting information systems and information processing facilities must be defined, documented and approved. The cybersecurity requirements for protecting information systems and information processing"
,Information System and Information Processing Facilities Protection,2-3,NCA-ECC-2-3-2,,facilities must be implemented,MEDIUM,,,facilities must be implemented. The cybersecurity requirements for protecting information systems and information processing facilities must include at least the following:
,Information System and Information Processing Facilities Protection,2-3,NCA-ECC-2-3-3,,-4 Centralized clock synchronization with an accurate and trusted source (e,MEDIUM,,,"-4 Centralized clock synchronization with an accurate and trusted source (e.g., Saudi Standards, Metrology and Quality Organization (SASO)). The cybersecurity requirements for protecting information systems and information processing"
,Information System and Information Processing Facilities Protection,2-3,NCA-ECC-2-3-4,,facilities must be reviewed periodically.,MEDIUM,,,facilities must be reviewed periodically.
,Email Protection,2-4,NCA-ECC-2-4-1,,"Cybersecurity requirements for protecting email service must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for protecting email service must be defined, documented and approved."
,Email Protection,2-4,NCA-ECC-2-4-2,,The cybersecurity requirements for email service must be implemented,MEDIUM,,,The cybersecurity requirements for email service must be implemented. The cybersecurity requirements for protecting the email service must include at the least the following:
,Email Protection,2-4,NCA-ECC-2-4-3,,-1 Analyzing and filtering email messages (specifically phishing emails and spam) using advanced and up-to-date email pr,MEDIUM,,,-1 Analyzing and filtering email messages (specifically phishing emails and spam) using advanced and up-to-date email protection techniques.
,Email Protection,2-4,NCA-ECC-2-4-4,,The cybersecurity requirements for email service must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements for email service must be reviewed periodically.
,Networks Security Management,2-5,NCA-ECC-2-5-1,,"Cybersecurity requirements for network security management must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for network security management must be defined, documented and approved."
,Networks Security Management,2-5,NCA-ECC-2-5-2,,The cybersecurity requirements for network security management must be implemented,MEDIUM,,,The cybersecurity requirements for network security management must be implemented. The cybersecurity requirements for network security management must include at least the following:
,Networks Security Management,2-5,NCA-ECC-2-5-3,,2-5-3-4 Wireless network protection using strong authentication and encryption techniques,MEDIUM,,,2-5-3-4 Wireless network protection using strong authentication and encryption techniques. A comprehensive risk assessment and management exercise must be conducted to assess and manage the cyber risks prior to connecting any wireless networks to the organization’s internal network.
,Networks Security Management,2-5,NCA-ECC-2-5-4,,The cybersecurity requirements for network security management must be reviewed periodically.,MEDIUM,,,The cybersecurity requirements for network security management must be reviewed periodically.
,Mobile Devices Security,2-6,NCA-ECC-2-6-1,,"Cybersecurity requirements for mobile devices security and BYOD must be defined, documented and approved.",MEDIUM,,,"Cybersecurity requirements for mobile devices security and BYOD must be defined, documented and approved."
